Yorum,Duygu,Temizlenmis_Yorum,Temizlenmis_Yorum_Stopless,Lemmatize_Yorum
Etrafımdakiler mutlu ama ben hep huzursuzum.,huzursuz,etrafımdakiler mutlu hep huzursuzum,etrafımdakiler mutlu huzursuzum,etraf mutlu hep huzur
Televizyonun sesi bile fazla geliyor artık.,huzursuz,televizyonun sesi bile fazla geliyor artık,televizyonun sesi fazla geliyor,televizyon ses bile fazla gel artık
Uyandığım anla birlikte huzursuzluk başlıyor.,huzursuz,uyandığım anla birlikte huzursuzluk başlıyor,uyandığım anla birlikte huzursuzluk başlıyor,uyan anla birlikte huzur başla
Küçücük şeylere bile anında tepki veriyorum.,huzursuz,küçücük şeylere bile anında tepki veriyorum,küçücük şeylere anında tepki veriyorum,küçücük şey bile an tepki ver
Hava bile boğucu geliyor bazı günler.,huzursuz,hava bile boğucu geliyor bazı günler,hava boğucu geliyor bazı günler,hava bile boğ gel bazı gün
Kafamın içinde durmadan dönen düşünceler var.,huzursuz,kafamın içinde durmadan dönen düşünceler var,kafamın içinde durmadan dönen düşünceler var,kafa iç dur dönen düşünce var
Yemeğim bile içime sinmeden yiyorum.,huzursuz,yemeğim bile içime sinmeden yiyorum,yemeğim içime sinmeden yiyorum,yemek bile iç sin ye
Her şey yolunda gitse bile içim rahat değil.,huzursuz,şey yolunda gitse bile içim rahat değil,şey yolunda gitse içim rahat değil,şey yol git bile içim rahat değil
Gün içinde birkaç kez titrediğimi fark ediyorum.,huzursuz,gün içinde birkaç kez titrediğimi fark ediyorum,gün içinde kez titrediğimi fark ediyorum,gün iç birkaç kez titre fark et
Gece yatağa yattığımda rahatlamak mümkün olmuyor.,huzursuz,gece yatağa yattığımda rahatlamak mümkün olmuyor,gece yatağa yattığımda rahatlamak mümkün olmuyor,gece yatak yat rahatla mümkün ol
Hemen sinirlenip sonra vicdan azabı duyuyorum.,huzursuz,hemen sinirlenip sonra vicdan azabı duyuyorum,hemen sinirlenip sonra vicdan azabı duyuyorum,hemen sinir sonra vicdan azap duy
İnsanların bana baktığını düşünüp huzursuz oluyorum.,huzursuz,i̇nsanların bana baktığını düşünüp huzursuz oluyorum,i̇nsanların bana baktığını düşünüp huzursuz oluyorum,UNK ben bak düşün huzur ol
Her şey sanki olması gerekenden farklı gibi.,huzursuz,şey sanki olması gerekenden farklı,şey sanki olması gerekenden farklı,şey sanki ol gerek fark
Fiziksel olarak bir sorun yok ama hep diken üstündeyim.,huzursuz,fiziksel olarak sorun yok hep diken üstündeyim,fiziksel olarak sorun yok diken üstündeyim,fizik ol sorun yok hep diken üstün
Aynaya bakmak istemediğim zamanlar oluyor.,huzursuz,aynaya bakmak istemediğim zamanlar oluyor,aynaya bakmak istemediğim zamanlar oluyor,ayna bak iste zaman ol
Etraftaki hareketler bile beni rahatsız ediyor.,huzursuz,etraftaki hareketler bile beni rahatsız ediyor,etraftaki hareketler beni rahatsız ediyor,etraf hareket bile ben rahat et
Her kararın sonucu kötü olacakmış gibi geliyor.,huzursuz,kararın sonucu kötü olacakmış geliyor,kararın sonucu kötü olacakmış geliyor,karar sonuç kötü ol gel
Durduk yere boğazım düğümleniyor.,huzursuz,durduk yere boğazım düğümleniyor,durduk yere boğazım düğümleniyor,dur yer boğaz düğümle
Koltukta bile otururken içim rahat değil.,huzursuz,koltukta bile otururken içim rahat değil,koltukta otururken içim rahat değil,koltuk bile otur içim rahat değil
"İçimde bir sıkışma var, geçmek bilmiyor.",huzursuz,i̇çimde sıkışma var geçmek bilmiyor,i̇çimde sıkışma var geçmek bilmiyor,UNK sıkış var geç bil
Uyuyamadan saatlerce dönüp duruyorum.,huzursuz,uyuyamadan saatlerce dönüp duruyorum,uyuyamadan saatlerce dönüp duruyorum,uyu saat dön dur
Sürekli bir şey unutuyormuşum hissi.,huzursuz,sürekli şey unutuyormuşum hissi,sürekli şey unutuyormuşum hissi,sürekli şey unut hissi
En basit şeyler bile içime dert oluyor.,huzursuz,basit şeyler bile içime dert oluyor,basit şeyler içime dert oluyor,basit şey bile iç dert ol
Aklımda bir sürü ihtimal var ve hepsi kötü.,huzursuz,aklımda sürü ihtimal var hepsi kötü,aklımda sürü ihtimal var hepsi kötü,akıl sürü ihtimal var hepsi kötü
Korkacak bir şey yokken bile içim daralıyor.,huzursuz,korkacak şey yokken bile içim daralıyor,korkacak şey yokken içim daralıyor,kork şey yok bile içim daral
İçsel bir huzura o kadar uzağım ki...,huzursuz,i̇çsel huzura uzağım,i̇çsel huzura uzağım,UNK huzur uzak
Kendi içimde sıkışıp kalmış gibiyim.,huzursuz,kendi içimde sıkışıp kalmış gibiyim,kendi içimde sıkışıp kalmış gibiyim,kendi içim sıkış kal gibi
Müzik bile artık sakinleştirmiyor.,huzursuz,müzik bile artık sakinleştirmiyor,müzik sakinleştirmiyor,müzik bile artık sakin
Çevremdeki gürültü sinir bozucu geliyor.,huzursuz,çevremdeki gürültü sinir bozucu geliyor,çevremdeki gürültü sinir bozucu geliyor,çevre gürültü sinir boz gel
Otobüste bile bir an önce inmek istiyorum.,huzursuz,otobüste bile an önce inmek istiyorum,otobüste an önce inmek istiyorum,otobüs bile an önce in iste
Gece sessizliği bile tehdit gibi geliyor.,huzursuz,gece sessizliği bile tehdit geliyor,gece sessizliği tehdit geliyor,gece ses bile tehdit gel
İnsanların konuşması içimi sıkıyor.,huzursuz,i̇nsanların konuşması içimi sıkıyor,i̇nsanların konuşması içimi sıkıyor,UNK konuş iç sık
Her hareketimi kontrol etmeye çalışıyorum.,huzursuz,hareketimi kontrol etmeye çalışıyorum,hareketimi kontrol etmeye çalışıyorum,hareket kontrol et çalış
Sessizliğe kaçmak istiyorum ama orada da rahat değilim.,huzursuz,sessizliğe kaçmak istiyorum orada rahat değilim,sessizliğe kaçmak istiyorum orada rahat değilim,ses kaç iste ora rahat değil
Rahatlamaya çalıştıkça daha da geriliyorum.,huzursuz,rahatlamaya çalıştıkça geriliyorum,rahatlamaya çalıştıkça geriliyorum,rahatla çalış gerile
Hiçbir yerde tam anlamıyla rahat hissedemiyorum.,huzursuz,hiçbir yerde tam anlamıyla rahat hissedemiyorum,hiçbir yerde tam anlamıyla rahat hissedemiyorum,hiçbir yer tam anlam rahat hisset
Zihnim sürekli senaryolar kuruyor.,huzursuz,zihnim sürekli senaryolar kuruyor,zihnim sürekli senaryolar kuruyor,zihin sürekli senaryo kur
Gün içinde sebepsiz bir huzursuzluk gelip geçiyor.,huzursuz,gün içinde sebepsiz huzursuzluk gelip geçiyor,gün içinde sebepsiz huzursuzluk gelip geçiyor,gün iç sebep huzur gel geç
Bir türlü kendimi bırakıp gevşeyemiyorum.,huzursuz,türlü kendimi bırakıp gevşeyemiyorum,türlü kendimi bırakıp gevşeyemiyorum,türlü kendi bırak gevşe
Sanki biri beni izliyormuş gibi hissediyorum.,huzursuz,sanki biri beni izliyormuş hissediyorum,sanki biri beni izliyormuş hissediyorum,sanki biri ben izle hisset
Gün bitince bile rahatlamıyorum.,huzursuz,gün bitince bile rahatlamıyorum,gün bitince rahatlamıyorum,gün bit bile rahatla
İç sesim sürekli konuşuyor ve susmuyor.,huzursuz,i̇ç sesim sürekli konuşuyor susmuyor,i̇ç sesim sürekli konuşuyor susmuyor,UNK ses sürekli konuş sus
Aynı düşünceler defalarca kafamda dönüyor.,huzursuz,aynı düşünceler defalarca kafamda dönüyor,aynı düşünceler defalarca kafamda dönüyor,aynı düşünce defalarca kafa dön
Gelecek düşüncesi içimi daraltıyor.,huzursuz,gelecek düşüncesi içimi daraltıyor,gelecek düşüncesi içimi daraltıyor,gel düşünce iç daral
O kadar dikkatliyim ki bu bile yoruyor.,huzursuz,dikkatliyim bile yoruyor,dikkatliyim yoruyor,dikkat bile yor
Aniden ağlayacak gibi hissediyorum.,huzursuz,aniden ağlayacak hissediyorum,aniden ağlayacak hissediyorum,aniden ağla hisset
Sadece oturmak bile rahatsız hissettiriyor.,huzursuz,sadece oturmak bile rahatsız hissettiriyor,sadece oturmak rahatsız hissettiriyor,sadece otur bile rahat hisset
Kendimi yatıştırmakta çok zorlanıyorum.,huzursuz,kendimi yatıştırmakta zorlanıyorum,kendimi yatıştırmakta zorlanıyorum,kendi yatış zorla
Elim titriyor ama nedenini bilmiyorum.,huzursuz,elim titriyor nedenini bilmiyorum,elim titriyor nedenini bilmiyorum,el titre neden bil
İçimden hiçbir şey yapmak gelmiyor ama yatınca huzursuzum.,huzursuz,i̇çimden hiçbir şey yapmak gelmiyor yatınca huzursuzum,i̇çimden hiçbir şey yapmak gelmiyor yatınca huzursuzum,UNK hiçbir şey yap gel yat huzur
 Huzur kelimesi bile uzak bir hayal gibi geliyor.,huzursuz,huzur kelimesi bile uzak hayal geliyor,huzur kelimesi uzak hayal geliyor,huzur kelime bile uzak hayal gel
